	Astrocyte	CGE	Chandelier	Endothelial	L2/3-6 IT	L5 ET	L5/6 NP	L6 CT	L6b	LAMP5	Microglia	OPC	Oligodendrocyte	PVALB	SNCG	SST	VIP	VLMC
0	0.12	0.0	0.02	0.02	0.31	0.06	0.05	0.01	0.01	0.0	0.01	0.02	0.02	0.01	0.01	0.09	0.23	0.01
1	0.04	0.03	0.02	0.0	0.04	0.01	0.0	0.0	0.0	0.03	0.02	0.01	0.05	0.07	0.07	0.54	0.07	0.0
2	0.03	0.07	0.02	0.02	0.21	0.12	0.0	0.09	0.05	0.05	0.0	0.0	0.04	0.12	0.04	0.05	0.01	0.08
3	0.08	0.02	0.07	0.04	0.22	0.02	0.0	0.03	0.06	0.09	0.03	0.0	0.1	0.06	0.07	0.08	0.01	0.02
4	0.03	0.02	0.0	0.0	0.47	0.03	0.0	0.08	0.11	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0.16	0.0
5	0.05	0.02	0.07	0.03	0.29	0.0	0.0	0.09	0.03	0.05	0.0	0.04	0.04	0.0	0.03	0.0	0.24	0.02
6	0.06	0.07	0.07	0.01	0.22	0.11	0.0	0.04	0.12	0.04	0.0	0.0	0.06	0.04	0.01	0.03	0.12	0.0
7	0.05	0.04	0.11	0.03	0.02	0.0	0.0	0.01	0.0	0.2	0.0	0.0	0.01	0.04	0.38	0.03	0.08	0.0
8	0.1	0.0	0.0	0.01	0.22	0.0	0.01	0.02	0.03	0.01	0.03	0.05	0.46	0.01	0.0	0.02	0.03	0.0
9	0.16	0.02	0.0	0.01	0.08	0.01	0.01	0.01	0.0	0.01	0.14	0.01	0.46	0.01	0.0	0.03	0.02	0.02
10	0.05	0.01	0.0	0.0	0.04	0.0	0.0	0.01	0.0	0.02	0.05	0.02	0.76	0.03	0.0	0.0	0.01	0.0
11	0.19	0.0	0.0	0.01	0.1	0.0	0.03	0.01	0.03	0.0	0.09	0.01	0.48	0.01	0.0	0.03	0.0	0.01
12	0.0	0.03	0.03	0.0	0.03	0.0	0.0	0.02	0.0	0.06	0.01	0.02	0.02	0.68	0.01	0.06	0.02	0.01
