	Astrocyte	CGE	Chandelier	Endothelial	L2/3-6 IT	L5 ET	L5/6 NP	L6 CT	L6b	LAMP5	Microglia	OPC	Oligodendrocyte	PVALB	SNCG	SST	VIP	VLMC
13	0.0	0.02	0.03	0.0	0.05	0.03	0.01	0.04	0.02	0.08	0.02	0.07	0.08	0.48	0.02	0.01	0.0	0.04
14	0.05	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.03	0.01	0.84	0.0	0.0	0.01	0.01	0.0
15	0.12	0.0	0.07	0.01	0.21	0.03	0.05	0.01	0.01	0.02	0.04	0.0	0.08	0.03	0.1	0.06	0.09	0.07
16	0.01	0.01	0.04	0.0	0.37	0.01	0.0	0.18	0.14	0.01	0.01	0.0	0.09	0.01	0.01	0.07	0.03	0.01
17	0.02	0.01	0.0	0.0	0.09	0.0	0.0	0.02	0.0	0.0	0.01	0.06	0.68	0.06	0.0	0.01	0.04	0.0
18	0.06	0.01	0.01	0.03	0.28	0.05	0.0	0.12	0.07	0.01	0.01	0.12	0.05	0.06	0.01	0.03	0.04	0.04
19	0.2	0.01	0.03	0.07	0.2	0.06	0.01	0.0	0.07	0.04	0.03	0.0	0.11	0.04	0.04	0.04	0.01	0.04
20	0.16	0.01	0.04	0.03	0.34	0.01	0.0	0.02	0.1	0.04	0.0	0.0	0.06	0.05	0.03	0.07	0.01	0.03
21	0.8	0.0	0.0	0.01	0.05	0.0	0.0	0.02	0.0	0.0	0.01	0.02	0.08	0.0	0.0	0.0	0.01	0.0
22	0.52	0.0	0.02	0.03	0.07	0.01	0.0	0.01	0.06	0.0	0.02	0.0	0.09	0.0	0.04	0.03	0.06	0.04
23	0.05	0.02	0.0	0.0	0.03	0.0	0.01	0.01	0.0	0.0	0.04	0.01	0.8	0.0	0.0	0.01	0.02	0.0
24	0.24	0.0	0.03	0.1	0.05	0.01	0.03	0.01	0.07	0.01	0.01	0.04	0.06	0.01	0.06	0.05	0.14	0.08
25	0.08	0.01	0.07	0.03	0.27	0.0	0.01	0.07	0.04	0.0	0.0	0.03	0.04	0.0	0.04	0.01	0.25	0.05
26	0.02	0.03	0.07	0.13	0.04	0.0	0.0	0.03	0.07	0.0	0.21	0.0	0.02	0.03	0.02	0.0	0.04	0.29
27	0.04	0.01	0.01	0.12	0.09	0.23	0.02	0.04	0.05	0.02	0.04	0.0	0.05	0.04	0.05	0.04	0.02	0.13
28	0.11	0.03	0.01	0.02	0.1	0.07	0.0	0.0	0.02	0.01	0.02	0.04	0.49	0.03	0.01	0.02	0.02	0.0
29	0.03	0.04	0.02	0.04	0.0	0.02	0.07	0.01	0.03	0.0	0.02	0.0	0.02	0.01	0.6	0.0	0.06	0.03
30	0.05	0.01	0.01	0.01	0.39	0.03	0.02	0.17	0.02	0.01	0.0	0.01	0.06	0.05	0.01	0.06	0.01	0.08
31	0.07	0.02	0.0	0.0	0.09	0.01	0.02	0.04	0.03	0.01	0.05	0.47	0.06	0.02	0.0	0.01	0.09	0.01
32	0.08	0.05	0.04	0.05	0.29	0.01	0.0	0.08	0.06	0.03	0.01	0.02	0.06	0.05	0.01	0.07	0.0	0.09
33	0.49	0.0	0.0	0.02	0.15	0.0	0.0	0.07	0.07	0.0	0.01	0.05	0.1	0.0	0.01	0.0	0.03	0.0
34	0.0	0.01	0.0	0.0	0.0	0.79	0.12	0.0	0.01	0.01	0.0	0.0	0.0	0.03	0.01	0.0	0.0	0.02
35	0.1	0.02	0.03	0.01	0.43	0.0	0.0	0.13	0.03	0.01	0.0	0.06	0.05	0.0	0.02	0.01	0.08	0.02
36	0.03	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.02	0.01	0.84	0.02	0.0	0.01	0.03	0.01
37	0.08	0.03	0.01	0.0	0.35	0.03	0.0	0.02	0.12	0.02	0.02	0.02	0.08	0.01	0.03	0.04	0.12	0.02
38	0.1	0.05	0.05	0.03	0.03	0.16	0.02	0.0	0.02	0.22	0.04	0.0	0.03	0.06	0.06	0.06	0.03	0.04
39	0.06	0.0	0.0	0.01	0.1	0.0	0.0	0.0	0.01	0.0	0.03	0.01	0.76	0.0	0.0	0.01	0.01	0.0
40	0.02	0.01	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.04	0.16	0.71	0.0	0.0	0.0	0.03	0.0
41	0.02	0.03	0.03	0.04	0.46	0.02	0.01	0.12	0.08	0.01	0.03	0.03	0.03	0.0	0.06	0.01	0.02	0.0
42	0.2	0.0	0.05	0.02	0.14	0.02	0.0	0.01	0.06	0.05	0.05	0.01	0.1	0.0	0.06	0.09	0.14	0.0
43	0.14	0.04	0.01	0.0	0.19	0.0	0.0	0.01	0.07	0.02	0.02	0.02	0.09	0.0	0.06	0.04	0.28	0.01
44	0.01	0.18	0.02	0.01	0.04	0.01	0.0	0.04	0.02	0.11	0.06	0.0	0.02	0.05	0.25	0.02	0.11	0.05
45	0.13	0.03	0.01	0.0	0.18	0.02	0.0	0.01	0.07	0.03	0.0	0.02	0.14	0.0	0.07	0.04	0.24	0.01
46	0.1	0.01	0.01	0.01	0.15	0.01	0.0	0.0	0.02	0.02	0.03	0.01	0.07	0.0	0.08	0.17	0.31	0.0
47	0.01	0.0	0.01	0.0	0.04	0.0	0.0	0.0	0.01	0.01	0.04	0.03	0.03	0.0	0.03	0.03	0.76	0.0
48	0.01	0.03	0.02	0.02	0.24	0.27	0.02	0.07	0.05	0.01	0.01	0.02	0.03	0.06	0.0	0.06	0.01	0.07
49	0.7	0.07	0.0	0.0	0.08	0.0	0.0	0.01	0.03	0.0	0.01	0.01	0.05	0.0	0.01	0.02	0.01	0.0
50	0.07	0.02	0.05	0.09	0.34	0.05	0.0	0.04	0.08	0.04	0.01	0.01	0.05	0.05	0.02	0.07	0.0	0.01
51	0.06	0.0	0.0	0.0	0.08	0.01	0.0	0.0	0.0	0.0	0.04	0.02	0.77	0.0	0.0	0.0	0.02	0.0
52	0.79	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.02	0.04	0.03	0.0	0.08	0.0	0.01	0.0	0.0	0.02
53	0.07	0.01	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.01	0.04	0.08	0.73	0.01	0.0	0.01	0.02	0.0
54	0.13	0.02	0.01	0.01	0.1	0.04	0.0	0.03	0.01	0.01	0.07	0.04	0.42	0.04	0.02	0.01	0.02	0.02
55	0.01	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.03	0.11	0.76	0.02	0.0	0.01	0.02	0.0
56	0.13	0.03	0.0	0.02	0.15	0.08	0.01	0.04	0.02	0.0	0.02	0.02	0.44	0.0	0.02	0.01	0.0	0.01
57	0.03	0.06	0.02	0.01	0.02	0.01	0.0	0.01	0.0	0.53	0.01	0.02	0.02	0.07	0.09	0.04	0.05	0.01
58	0.08	0.04	0.01	0.01	0.02	0.0	0.0	0.0	0.01	0.02	0.03	0.64	0.03	0.04	0.0	0.0	0.07	0.0
59	0.01	0.01	0.0	0.0	0.06	0.01	0.0	0.0	0.0	0.0	0.04	0.09	0.72	0.01	0.0	0.01	0.03	0.01
60	0.05	0.04	0.0	0.0	0.2	0.05	0.01	0.02	0.09	0.05	0.07	0.02	0.05	0.02	0.05	0.08	0.19	0.01
61	0.07	0.03	0.01	0.0	0.06	0.0	0.0	0.01	0.01	0.02	0.01	0.55	0.06	0.02	0.0	0.02	0.12	0.01
62	0.09	0.05	0.02	0.02	0.15	0.02	0.01	0.03	0.03	0.02	0.02	0.0	0.14	0.02	0.13	0.09	0.09	0.07
63	0.14	0.03	0.04	0.01	0.23	0.01	0.0	0.02	0.05	0.04	0.07	0.02	0.1	0.03	0.04	0.1	0.03	0.04
64	0.08	0.01	0.01	0.0	0.04	0.0	0.0	0.0	0.02	0.02	0.01	0.54	0.09	0.03	0.0	0.01	0.14	0.0
65	0.1	0.03	0.0	0.0	0.31	0.02	0.0	0.01	0.02	0.05	0.05	0.0	0.15	0.01	0.03	0.08	0.14	0.0
66	0.02	0.04	0.02	0.0	0.0	0.0	0.0	0.0	0.01	0.02	0.0	0.71	0.09	0.02	0.02	0.0	0.05	0.0
67	0.0	0.01	0.01	0.0	0.03	0.0	0.0	0.0	0.02	0.0	0.01	0.02	0.04	0.0	0.02	0.01	0.83	0.0
68	0.07	0.01	0.41	0.03	0.02	0.02	0.0	0.0	0.0	0.13	0.02	0.01	0.08	0.03	0.04	0.05	0.02	0.06
69	0.81	0.0	0.0	0.01	0.05	0.0	0.0	0.03	0.03	0.01	0.0	0.01	0.03	0.0	0.0	0.0	0.02	0.0
70	0.07	0.03	0.01	0.0	0.12	0.0	0.0	0.01	0.0	0.0	0.05	0.08	0.56	0.02	0.0	0.02	0.02	0.01
71	0.04	0.01	0.01	0.0	0.07	0.0	0.01	0.01	0.0	0.01	0.02	0.06	0.73	0.01	0.01	0.01	0.0	0.0
72	0.15	0.0	0.02	0.01	0.36	0.0	0.01	0.05	0.16	0.05	0.01	0.0	0.04	0.04	0.01	0.04	0.04	0.01
73	0.04	0.01	0.0	0.01	0.16	0.01	0.0	0.0	0.0	0.0	0.02	0.04	0.59	0.0	0.0	0.02	0.1	0.0
74	0.03	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.02	0.08	0.84	0.0	0.0	0.0	0.01	0.0
75	0.04	0.02	0.01	0.0	0.03	0.0	0.0	0.0	0.01	0.02	0.03	0.62	0.03	0.03	0.0	0.03	0.13	0.0
76	0.03	0.01	0.0	0.0	0.21	0.0	0.0	0.02	0.0	0.0	0.05	0.06	0.58	0.0	0.0	0.01	0.03	0.0
77	0.04	0.02	0.03	0.06	0.18	0.1	0.05	0.05	0.01	0.01	0.0	0.02	0.0	0.0	0.09	0.05	0.23	0.06
78	0.02	0.0	0.0	0.0	0.06	0.0	0.0	0.01	0.0	0.0	0.03	0.06	0.78	0.01	0.0	0.01	0.01	0.01
79	0.13	0.1	0.01	0.0	0.37	0.03	0.0	0.05	0.1	0.01	0.0	0.01	0.04	0.05	0.01	0.04	0.03	0.02
80	0.03	0.01	0.0	0.0	0.39	0.03	0.02	0.03	0.09	0.02	0.07	0.0	0.12	0.05	0.03	0.08	0.02	0.01
81	0.02	0.05	0.01	0.01	0.33	0.13	0.02	0.02	0.11	0.04	0.0	0.02	0.03	0.05	0.01	0.09	0.02	0.04
82	0.01	0.02	0.03	0.02	0.29	0.13	0.01	0.09	0.06	0.01	0.02	0.01	0.03	0.04	0.0	0.08	0.03	0.12
83	0.12	0.05	0.01	0.0	0.05	0.03	0.0	0.01	0.04	0.05	0.08	0.06	0.05	0.03	0.08	0.26	0.04	0.04
84	0.13	0.03	0.02	0.0	0.43	0.03	0.0	0.03	0.05	0.03	0.02	0.02	0.06	0.0	0.03	0.08	0.03	0.01
85	0.02	0.07	0.0	0.02	0.28	0.12	0.0	0.12	0.07	0.03	0.0	0.02	0.03	0.11	0.01	0.01	0.01	0.08
86	0.04	0.04	0.01	0.04	0.24	0.16	0.0	0.05	0.05	0.03	0.03	0.03	0.09	0.02	0.01	0.04	0.02	0.1
87	0.08	0.02	0.0	0.01	0.1	0.08	0.0	0.02	0.0	0.01	0.03	0.08	0.45	0.04	0.0	0.01	0.07	0.0
88	0.09	0.0	0.01	0.01	0.14	0.0	0.0	0.01	0.0	0.01	0.03	0.03	0.63	0.0	0.01	0.02	0.0	0.01
89	0.07	0.03	0.0	0.0	0.24	0.06	0.01	0.01	0.06	0.03	0.07	0.07	0.05	0.0	0.05	0.03	0.21	0.01
90	0.14	0.07	0.0	0.0	0.25	0.03	0.0	0.06	0.02	0.05	0.05	0.01	0.1	0.02	0.03	0.06	0.1	0.01
91	0.04	0.03	0.0	0.0	0.3	0.02	0.0	0.02	0.07	0.0	0.11	0.01	0.13	0.08	0.06	0.09	0.04	0.0
92	0.65	0.01	0.0	0.0	0.07	0.0	0.01	0.02	0.02	0.01	0.0	0.01	0.07	0.0	0.02	0.04	0.07	0.0
93	0.04	0.0	0.03	0.0	0.08	0.0	0.0	0.0	0.0	0.01	0.01	0.05	0.02	0.0	0.1	0.01	0.65	0.0
94	0.17	0.01	0.0	0.0	0.16	0.02	0.01	0.02	0.02	0.04	0.13	0.01	0.35	0.02	0.0	0.01	0.02	0.01
95	0.01	0.0	0.0	0.01	0.02	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.95	0.0	0.0	0.0	0.0	0.0
96	0.07	0.0	0.0	0.0	0.17	0.0	0.04	0.0	0.0	0.03	0.01	0.04	0.0	0.01	0.06	0.06	0.49	0.02
97	0.02	0.01	0.0	0.02	0.02	0.01	0.0	0.02	0.09	0.03	0.66	0.01	0.07	0.0	0.01	0.03	0.0	0.0
98	0.02	0.02	0.01	0.02	0.38	0.15	0.0	0.11	0.08	0.02	0.01	0.02	0.03	0.05	0.01	0.05	0.02	0.0
99	0.73	0.01	0.03	0.01	0.07	0.0	0.01	0.03	0.04	0.01	0.0	0.01	0.03	0.0	0.0	0.0	0.02	0.0
