Astrocyte	CGE	Chandelier	Endothelial	L2/3-6 IT	L5 ET	L5/6 NP	L6 CT	L6b	LAMP5	Microglia	OPC	Oligodendrocyte	PVALB	Pericyte	SNCG	SST	VIP	VLMC
0.09	0.0	0.05	0.01	0.29	0.01	0.02	0.07	0.04	0.01	0.0	0.05	0.04	0.03	0.01	0.03	0.06	0.18	0.01
0.01	0.0	0.0	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.01	0.0	0.04	0.86	0.03	0.0
0.02	0.08	0.05	0.02	0.17	0.25	0.01	0.08	0.02	0.01	0.0	0.0	0.04	0.09	0.0	0.01	0.02	0.02	0.11
0.1	0.01	0.06	0.08	0.1	0.03	0.01	0.0	0.07	0.13	0.05	0.0	0.05	0.01	0.0	0.15	0.09	0.01	0.05
0.02	0.01	0.0	0.01	0.5	0.05	0.0	0.09	0.05	0.03	0.01	0.02	0.02	0.0	0.0	0.03	0.04	0.08	0.04
0.13	0.0	0.01	0.02	0.2	0.0	0.0	0.16	0.08	0.03	0.03	0.06	0.01	0.02	0.0	0.07	0.0	0.13	0.05
0.11	0.04	0.08	0.03	0.25	0.13	0.0	0.05	0.02	0.05	0.0	0.01	0.03	0.02	0.0	0.01	0.08	0.04	0.05
0.06	0.01	0.05	0.01	0.0	0.01	0.0	0.01	0.0	0.35	0.0	0.01	0.0	0.04	0.0	0.22	0.13	0.09	0.01
0.08	0.0	0.01	0.0	0.09	0.01	0.0	0.01	0.03	0.0	0.11	0.02	0.55	0.02	0.0	0.0	0.01	0.04	0.02
0.24	0.03	0.0	0.01	0.06	0.01	0.01	0.0	0.0	0.0	0.15	0.01	0.33	0.04	0.0	0.03	0.03	0.03	0.02
0.08	0.0	0.0	0.01	0.02	0.0	0.01	0.0	0.01	0.0	0.03	0.01	0.8	0.0	0.0	0.0	0.0	0.02	0.01
0.18	0.0	0.01	0.01	0.09	0.02	0.0	0.02	0.04	0.01	0.19	0.01	0.32	0.0	0.0	0.01	0.02	0.02	0.05
0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.01	0.01	0.06	0.0	0.0	0.03	0.76	0.0	0.01	0.02	0.0	0.0
0.01	0.01	0.07	0.0	0.02	0.0	0.0	0.05	0.01	0.04	0.02	0.07	0.07	0.51	0.0	0.01	0.03	0.05	0.03
0.04	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.01	0.88	0.0	0.0	0.0	0.0	0.02	0.0
0.19	0.0	0.13	0.03	0.23	0.01	0.04	0.01	0.02	0.02	0.01	0.0	0.01	0.04	0.01	0.07	0.08	0.07	0.03
0.02	0.03	0.05	0.0	0.2	0.02	0.0	0.13	0.24	0.01	0.08	0.0	0.11	0.03	0.01	0.01	0.06	0.0	0.0
0.07	0.0	0.0	0.0	0.01	0.0	0.0	0.01	0.0	0.01	0.01	0.06	0.75	0.01	0.0	0.0	0.01	0.04	0.02
0.03	0.0	0.05	0.09	0.15	0.02	0.0	0.25	0.05	0.02	0.03	0.02	0.08	0.03	0.01	0.02	0.02	0.08	0.05
0.16	0.0	0.02	0.07	0.27	0.02	0.0	0.04	0.06	0.02	0.03	0.0	0.09	0.03	0.0	0.03	0.12	0.0	0.04
0.09	0.0	0.07	0.05	0.35	0.04	0.0	0.02	0.11	0.02	0.0	0.0	0.05	0.03	0.0	0.04	0.06	0.01	0.06
0.84	0.01	0.01	0.02	0.02	0.0	0.0	0.02	0.03	0.0	0.0	0.0	0.01	0.01	0.0	0.0	0.01	0.02	0.0
0.78	0.0	0.01	0.04	0.02	0.0	0.0	0.03	0.03	0.0	0.04	0.0	0.0	0.0	0.02	0.0	0.0	0.02	0.01
0.11	0.01	0.0	0.01	0.0	0.0	0.01	0.0	0.0	0.0	0.02	0.01	0.82	0.0	0.0	0.0	0.0	0.01	0.0
0.65	0.0	0.01	0.05	0.06	0.01	0.01	0.02	0.03	0.01	0.0	0.04	0.0	0.01	0.01	0.02	0.0	0.05	0.02
0.22	0.0	0.05	0.01	0.18	0.0	0.01	0.11	0.04	0.03	0.01	0.01	0.0	0.0	0.0	0.08	0.01	0.17	0.07
0.11	0.02	0.05	0.28	0.04	0.0	0.0	0.03	0.01	0.02	0.06	0.01	0.02	0.01	0.02	0.02	0.0	0.03	0.27
0.16	0.0	0.01	0.16	0.06	0.09	0.01	0.05	0.0	0.03	0.04	0.01	0.05	0.0	0.02	0.01	0.04	0.07	0.19
0.08	0.0	0.03	0.0	0.03	0.01	0.0	0.02	0.0	0.01	0.01	0.01	0.69	0.01	0.0	0.0	0.0	0.07	0.03
0.0	0.01	0.01	0.06	0.01	0.0	0.03	0.01	0.0	0.02	0.0	0.01	0.0	0.0	0.0	0.69	0.01	0.1	0.04
