Astrocyte	CGE	Chandelier	Endothelial	L2/3-6 IT	L5 ET	L5/6 NP	L6 CT	L6b	LAMP5	Microglia	OPC	Oligodendrocyte	PVALB	Pericyte	SNCG	SST	VIP	VLMC
0.08	0.02	0.04	0.0	0.35	0.03	0.09	0.06	0.03	0.01	0.0	0.01	0.02	0.04	0.01	0.01	0.05	0.15	0.0
0.01	0.01	0.0	0.0	0.03	0.02	0.0	0.0	0.0	0.02	0.0	0.01	0.01	0.02	0.0	0.01	0.85	0.01	0.0
0.01	0.09	0.03	0.0	0.21	0.22	0.0	0.08	0.03	0.04	0.02	0.0	0.0	0.14	0.03	0.01	0.05	0.01	0.03
0.06	0.05	0.11	0.05	0.16	0.05	0.0	0.02	0.01	0.05	0.03	0.0	0.0	0.03	0.01	0.2	0.08	0.02	0.07
0.05	0.01	0.01	0.0	0.53	0.03	0.0	0.08	0.07	0.02	0.03	0.02	0.0	0.01	0.0	0.0	0.03	0.08	0.03
0.13	0.0	0.01	0.02	0.23	0.01	0.0	0.3	0.02	0.07	0.0	0.01	0.0	0.02	0.0	0.04	0.0	0.12	0.02
0.01	0.02	0.11	0.0	0.33	0.15	0.0	0.04	0.04	0.02	0.01	0.0	0.01	0.07	0.0	0.04	0.08	0.07	0.0
0.02	0.07	0.06	0.0	0.01	0.0	0.0	0.0	0.02	0.47	0.0	0.01	0.01	0.04	0.01	0.19	0.07	0.01	0.01
0.1	0.0	0.01	0.01	0.04	0.0	0.0	0.08	0.03	0.0	0.11	0.05	0.5	0.03	0.0	0.0	0.03	0.01	0.0
0.22	0.04	0.03	0.01	0.12	0.0	0.0	0.01	0.01	0.01	0.15	0.01	0.28	0.02	0.0	0.01	0.03	0.02	0.03
0.16	0.02	0.03	0.0	0.02	0.0	0.0	0.02	0.0	0.0	0.03	0.02	0.68	0.01	0.0	0.0	0.0	0.0	0.01
0.19	0.0	0.01	0.01	0.13	0.03	0.0	0.07	0.01	0.0	0.17	0.05	0.23	0.0	0.0	0.01	0.04	0.02	0.03
0.0	0.06	0.07	0.0	0.02	0.0	0.0	0.01	0.01	0.0	0.01	0.01	0.0	0.75	0.0	0.02	0.03	0.01	0.0
0.01	0.03	0.04	0.0	0.01	0.02	0.0	0.02	0.02	0.07	0.0	0.06	0.06	0.57	0.0	0.0	0.08	0.0	0.01
0.06	0.0	0.0	0.0	0.01	0.0	0.0	0.01	0.0	0.0	0.01	0.02	0.88	0.0	0.0	0.0	0.01	0.0	0.0
0.13	0.0	0.14	0.06	0.25	0.01	0.02	0.01	0.03	0.01	0.0	0.01	0.04	0.04	0.02	0.09	0.07	0.03	0.04
0.03	0.02	0.03	0.01	0.12	0.01	0.0	0.44	0.08	0.02	0.01	0.01	0.08	0.05	0.01	0.02	0.04	0.02	0.0
0.08	0.0	0.01	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.81	0.0	0.01	0.0	0.01	0.01	0.0
0.07	0.04	0.0	0.04	0.18	0.01	0.0	0.44	0.03	0.01	0.02	0.01	0.03	0.02	0.0	0.0	0.02	0.06	0.02
0.18	0.01	0.04	0.09	0.24	0.01	0.01	0.0	0.02	0.03	0.03	0.0	0.04	0.04	0.01	0.04	0.17	0.02	0.02
0.09	0.04	0.06	0.03	0.29	0.03	0.0	0.06	0.02	0.01	0.01	0.0	0.02	0.12	0.0	0.04	0.12	0.02	0.04
0.82	0.01	0.01	0.01	0.03	0.0	0.0	0.05	0.02	0.0	0.01	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.02
0.62	0.01	0.03	0.08	0.02	0.01	0.0	0.02	0.03	0.01	0.02	0.01	0.02	0.0	0.0	0.01	0.01	0.02	0.08
0.15	0.02	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.03	0.04	0.71	0.01	0.0	0.01	0.0	0.0	0.0
0.47	0.0	0.02	0.15	0.06	0.0	0.01	0.04	0.02	0.0	0.02	0.02	0.03	0.0	0.0	0.03	0.0	0.08	0.05
0.14	0.0	0.05	0.01	0.17	0.01	0.03	0.26	0.01	0.0	0.0	0.0	0.01	0.0	0.0	0.05	0.0	0.18	0.08
0.04	0.0	0.05	0.22	0.04	0.0	0.02	0.01	0.03	0.02	0.1	0.0	0.0	0.01	0.03	0.0	0.02	0.03	0.38
0.14	0.01	0.03	0.09	0.1	0.09	0.01	0.02	0.01	0.0	0.06	0.01	0.02	0.0	0.1	0.03	0.03	0.05	0.2
0.06	0.01	0.06	0.0	0.06	0.02	0.0	0.06	0.0	0.0	0.03	0.04	0.58	0.03	0.0	0.01	0.02	0.01	0.01
0.0	0.03	0.0	0.01	0.01	0.07	0.08	0.02	0.01	0.03	0.01	0.0	0.0	0.0	0.03	0.6	0.01	0.07	0.02
0.02	0.01	0.04	0.02	0.13	0.02	0.01	0.39	0.01	0.0	0.0	0.04	0.11	0.07	0.0	0.0	0.03	0.05	0.05
0.02	0.01	0.01	0.0	0.01	0.0	0.0	0.04	0.01	0.0	0.01	0.83	0.03	0.01	0.0	0.0	0.01	0.01	0.0
0.03	0.08	0.07	0.04	0.21	0.03	0.01	0.07	0.05	0.0	0.0	0.0	0.07	0.1	0.0	0.04	0.09	0.03	0.08
0.63	0.02	0.0	0.01	0.06	0.0	0.0	0.08	0.04	0.0	0.03	0.0	0.02	0.0	0.01	0.0	0.01	0.07	0.02
0.0	0.0	0.0	0.0	0.02	0.83	0.07	0.0	0.0	0.01	0.0	0.0	0.0	0.03	0.03	0.0	0.01	0.0	0.0
0.06	0.04	0.01	0.01	0.25	0.0	0.0	0.52	0.01	0.0	0.0	0.01	0.02	0.02	0.0	0.0	0.04	0.01	0.0
0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.94	0.0	0.0	0.01	0.0	0.0	0.0
0.04	0.03	0.0	0.0	0.61	0.04	0.0	0.06	0.07	0.01	0.02	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.02
0.02	0.08	0.03	0.01	0.11	0.15	0.05	0.0	0.0	0.18	0.02	0.01	0.02	0.13	0.03	0.06	0.07	0.01	0.02
0.07	0.0	0.03	0.0	0.02	0.0	0.0	0.03	0.0	0.0	0.01	0.03	0.77	0.02	0.0	0.0	0.02	0.0	0.0
0.11	0.0	0.0	0.01	0.01	0.0	0.0	0.01	0.0	0.0	0.02	0.06	0.76	0.0	0.01	0.0	0.01	0.0	0.0
0.02	0.02	0.01	0.1	0.25	0.02	0.0	0.27	0.11	0.01	0.01	0.0	0.01	0.0	0.0	0.05	0.03	0.03	0.06
0.14	0.0	0.02	0.0	0.49	0.01	0.0	0.07	0.05	0.0	0.05	0.02	0.06	0.01	0.01	0.01	0.06	0.0	0.0
0.08	0.01	0.0	0.01	0.62	0.02	0.0	0.07	0.03	0.0	0.01	0.01	0.02	0.0	0.0	0.0	0.05	0.07	0.0
0.01	0.09	0.11	0.0	0.01	0.0	0.01	0.04	0.01	0.06	0.02	0.04	0.0	0.07	0.02	0.19	0.03	0.21	0.08
