Astrocyte	CGE	Chandelier	Endothelial	L2/3-6 IT	L5 ET	L5/6 NP	L6 CT	L6b	LAMP5	Microglia	OPC	Oligodendrocyte	PVALB	Pericyte	SNCG	SST	VIP	VLMC
0.07	0.01	0.0	0.0	0.64	0.03	0.0	0.04	0.05	0.01	0.01	0.01	0.04	0.0	0.01	0.0	0.04	0.04	0.0
0.1	0.0	0.01	0.02	0.52	0.01	0.0	0.04	0.02	0.02	0.01	0.01	0.05	0.0	0.0	0.02	0.09	0.07	0.01
0.01	0.02	0.0	0.0	0.06	0.0	0.0	0.01	0.01	0.02	0.01	0.04	0.0	0.02	0.0	0.07	0.05	0.68	0.0
0.03	0.07	0.02	0.01	0.37	0.19	0.0	0.08	0.01	0.01	0.0	0.0	0.0	0.04	0.03	0.0	0.01	0.04	0.09
0.91	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.03	0.0	0.02	0.0	0.0	0.0	0.0	0.01	0.01	0.0	0.01
0.05	0.06	0.02	0.06	0.31	0.09	0.0	0.03	0.05	0.04	0.02	0.0	0.0	0.03	0.0	0.03	0.17	0.01	0.03
0.09	0.0	0.03	0.0	0.02	0.0	0.0	0.02	0.01	0.0	0.02	0.04	0.73	0.02	0.0	0.0	0.01	0.0	0.01
0.84	0.01	0.0	0.0	0.07	0.0	0.0	0.01	0.01	0.0	0.02	0.0	0.02	0.0	0.0	0.0	0.0	0.01	0.01
0.1	0.01	0.0	0.0	0.03	0.0	0.0	0.03	0.0	0.01	0.06	0.1	0.62	0.02	0.0	0.0	0.02	0.0	0.0
0.06	0.03	0.04	0.0	0.06	0.03	0.0	0.04	0.01	0.0	0.11	0.05	0.43	0.04	0.01	0.01	0.03	0.02	0.03
0.02	0.01	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.02	0.04	0.89	0.0	0.01	0.0	0.0	0.0	0.0
0.21	0.0	0.03	0.03	0.1	0.03	0.0	0.07	0.02	0.0	0.06	0.03	0.29	0.02	0.01	0.01	0.04	0.01	0.04
0.0	0.06	0.03	0.01	0.03	0.01	0.0	0.02	0.02	0.54	0.04	0.03	0.01	0.03	0.03	0.05	0.0	0.06	0.03
0.08	0.0	0.02	0.0	0.01	0.0	0.0	0.0	0.0	0.03	0.0	0.77	0.05	0.0	0.0	0.03	0.01	0.0	0.0
0.09	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.01	0.04	0.8	0.01	0.0	0.0	0.03	0.0	0.0
0.02	0.06	0.0	0.02	0.57	0.03	0.0	0.02	0.06	0.01	0.0	0.01	0.0	0.02	0.0	0.02	0.05	0.1	0.01
0.06	0.0	0.02	0.0	0.01	0.0	0.0	0.03	0.0	0.02	0.0	0.68	0.05	0.02	0.0	0.04	0.03	0.04	0.0
0.02	0.03	0.12	0.06	0.24	0.02	0.0	0.01	0.02	0.03	0.03	0.0	0.08	0.02	0.01	0.15	0.07	0.05	0.04
0.04	0.02	0.07	0.02	0.29	0.01	0.0	0.03	0.06	0.04	0.03	0.01	0.09	0.05	0.0	0.13	0.1	0.01	0.0
0.03	0.0	0.02	0.0	0.0	0.0	0.0	0.01	0.0	0.01	0.01	0.9	0.02	0.0	0.0	0.0	0.0	0.0	0.0
0.04	0.01	0.01	0.01	0.5	0.01	0.0	0.06	0.03	0.0	0.05	0.0	0.06	0.01	0.01	0.04	0.06	0.09	0.01
0.0	0.01	0.02	0.0	0.0	0.01	0.0	0.02	0.0	0.0	0.01	0.85	0.01	0.0	0.0	0.0	0.01	0.06	0.0
0.0	0.04	0.05	0.01	0.06	0.0	0.0	0.02	0.01	0.03	0.0	0.02	0.0	0.02	0.0	0.11	0.04	0.57	0.02
0.03	0.0	0.67	0.01	0.02	0.01	0.0	0.0	0.01	0.07	0.02	0.01	0.0	0.08	0.01	0.01	0.02	0.03	0.0
0.84	0.01	0.0	0.0	0.03	0.01	0.0	0.06	0.0	0.0	0.02	0.0	0.01	0.0	0.0	0.0	0.0	0.01	0.01
0.1	0.01	0.04	0.02	0.02	0.01	0.0	0.02	0.0	0.0	0.03	0.07	0.6	0.03	0.02	0.0	0.02	0.01	0.0
0.04	0.0	0.02	0.0	0.01	0.0	0.0	0.01	0.0	0.0	0.03	0.03	0.8	0.01	0.0	0.01	0.01	0.03	0.0
0.05	0.02	0.05	0.0	0.23	0.04	0.0	0.24	0.13	0.0	0.01	0.0	0.07	0.07	0.0	0.03	0.03	0.03	0.0
0.08	0.0	0.01	0.01	0.02	0.0	0.0	0.03	0.0	0.0	0.03	0.03	0.76	0.01	0.0	0.0	0.02	0.0	0.0
0.05	0.01	0.01	0.0	0.02	0.0	0.01	0.01	0.0	0.0	0.07	0.02	0.79	0.0	0.0	0.0	0.01	0.0	0.0
0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.01	0.0	0.01	0.01	0.94	0.01	0.0	0.0	0.0	0.01	0.0	0.0
0.04	0.0	0.02	0.0	0.02	0.0	0.0	0.01	0.0	0.0	0.03	0.03	0.81	0.02	0.0	0.0	0.02	0.0	0.0
0.05	0.01	0.05	0.06	0.17	0.02	0.12	0.1	0.02	0.0	0.01	0.01	0.0	0.01	0.02	0.03	0.02	0.2	0.1
0.05	0.01	0.02	0.0	0.01	0.0	0.0	0.05	0.01	0.0	0.04	0.03	0.68	0.04	0.0	0.0	0.03	0.02	0.01
0.05	0.01	0.01	0.03	0.53	0.03	0.0	0.07	0.05	0.04	0.01	0.01	0.0	0.0	0.02	0.0	0.05	0.08	0.01
0.05	0.02	0.01	0.03	0.29	0.04	0.01	0.03	0.07	0.0	0.02	0.05	0.11	0.09	0.0	0.01	0.08	0.04	0.05
0.02	0.05	0.05	0.03	0.57	0.12	0.01	0.07	0.01	0.02	0.0	0.0	0.0	0.01	0.0	0.02	0.0	0.0	0.02
0.03	0.02	0.01	0.01	0.25	0.03	0.0	0.25	0.1	0.01	0.0	0.02	0.0	0.05	0.02	0.02	0.04	0.1	0.04
0.01	0.01	0.0	0.01	0.1	0.02	0.0	0.05	0.01	0.0	0.09	0.07	0.06	0.02	0.0	0.14	0.24	0.13	0.04
0.1	0.01	0.0	0.02	0.5	0.01	0.0	0.06	0.04	0.03	0.04	0.0	0.01	0.01	0.01	0.02	0.11	0.01	0.02
0.03	0.03	0.02	0.01	0.38	0.15	0.0	0.1	0.0	0.04	0.02	0.01	0.0	0.05	0.01	0.01	0.06	0.02	0.06
0.04	0.02	0.01	0.09	0.41	0.17	0.0	0.04	0.02	0.02	0.02	0.0	0.01	0.0	0.02	0.0	0.03	0.02	0.08
0.07	0.0	0.04	0.0	0.06	0.02	0.0	0.08	0.0	0.0	0.04	0.04	0.53	0.02	0.01	0.01	0.03	0.04	0.01
0.11	0.0	0.04	0.0	0.07	0.02	0.0	0.04	0.01	0.0	0.04	0.02	0.59	0.03	0.0	0.0	0.03	0.0	0.0
0.04	0.04	0.02	0.02	0.49	0.04	0.0	0.04	0.04	0.01	0.02	0.0	0.0	0.03	0.0	0.02	0.05	0.12	0.02
0.06	0.02	0.02	0.02	0.54	0.03	0.0	0.03	0.02	0.01	0.03	0.0	0.05	0.02	0.0	0.02	0.06	0.07	0.0
0.04	0.04	0.07	0.0	0.21	0.01	0.0	0.04	0.06	0.02	0.0	0.02	0.13	0.12	0.01	0.02	0.12	0.07	0.02
0.88	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.03	0.01	0.01	0.0	0.01	0.02	0.0	0.0
0.02	0.01	0.03	0.0	0.14	0.0	0.0	0.0	0.0	0.01	0.01	0.03	0.0	0.0	0.0	0.07	0.09	0.57	0.02
0.13	0.02	0.05	0.01	0.1	0.01	0.0	0.03	0.02	0.01	0.11	0.01	0.27	0.05	0.0	0.03	0.1	0.01	0.04
0.04	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.04	0.81	0.0	0.0	0.01	0.02	0.0	0.0
0.01	0.0	0.02	0.02	0.1	0.0	0.02	0.01	0.0	0.01	0.0	0.0	0.0	0.04	0.0	0.09	0.03	0.62	0.03
0.04	0.04	0.01	0.02	0.02	0.01	0.0	0.06	0.04	0.02	0.56	0.01	0.04	0.01	0.01	0.04	0.01	0.06	0.0
0.05	0.04	0.02	0.02	0.45	0.12	0.0	0.04	0.04	0.04	0.0	0.01	0.0	0.06	0.01	0.01	0.05	0.0	0.04
0.87	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.03	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01
