Astrocyte	CGE	Chandelier	Endothelial	L2/3-6 IT	L5 ET	L5/6 NP	L6 CT	L6b	LAMP5	Microglia	OPC	Oligodendrocyte	PVALB	Pericyte	SNCG	SST	VIP	VLMC
0.71	0.0	0.01	0.06	0.02	0.0	0.0	0.03	0.04	0.0	0.05	0.01	0.01	0.0	0.0	0.01	0.0	0.0	0.05
0.16	0.0	0.0	0.01	0.02	0.0	0.0	0.0	0.01	0.0	0.04	0.01	0.72	0.0	0.01	0.0	0.0	0.02	0.0
0.43	0.0	0.02	0.29	0.01	0.01	0.02	0.03	0.03	0.0	0.03	0.02	0.0	0.01	0.0	0.01	0.0	0.06	0.03
0.13	0.0	0.13	0.03	0.04	0.0	0.03	0.19	0.14	0.01	0.02	0.0	0.01	0.02	0.0	0.02	0.01	0.16	0.06
0.07	0.01	0.05	0.11	0.02	0.0	0.0	0.03	0.01	0.01	0.06	0.0	0.0	0.01	0.0	0.01	0.0	0.04	0.57
0.17	0.04	0.0	0.26	0.07	0.03	0.04	0.08	0.02	0.03	0.02	0.0	0.01	0.0	0.04	0.01	0.01	0.04	0.13
0.07	0.01	0.01	0.01	0.09	0.0	0.0	0.02	0.01	0.01	0.01	0.0	0.68	0.02	0.01	0.01	0.01	0.01	0.02
0.0	0.07	0.01	0.06	0.01	0.01	0.01	0.0	0.01	0.03	0.02	0.0	0.0	0.0	0.0	0.73	0.0	0.03	0.01
0.06	0.01	0.04	0.0	0.32	0.02	0.0	0.28	0.09	0.0	0.0	0.0	0.06	0.07	0.01	0.0	0.0	0.02	0.02
0.08	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.03	0.01	0.0	0.7	0.06	0.03	0.0	0.01	0.0	0.06	0.0
0.03	0.08	0.04	0.01	0.38	0.03	0.01	0.09	0.02	0.04	0.0	0.0	0.01	0.03	0.0	0.04	0.09	0.05	0.05
0.69	0.0	0.0	0.04	0.05	0.0	0.0	0.08	0.06	0.0	0.01	0.01	0.02	0.0	0.0	0.0	0.0	0.0	0.04
0.0	0.05	0.01	0.07	0.0	0.7	0.02	0.03	0.01	0.04	0.01	0.0	0.0	0.0	0.04	0.0	0.0	0.01	0.01
0.09	0.02	0.03	0.01	0.27	0.0	0.01	0.32	0.06	0.0	0.01	0.02	0.04	0.03	0.0	0.0	0.01	0.06	0.02
0.02	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.96	0.0	0.0	0.0	0.0	0.0	0.0
0.06	0.03	0.0	0.05	0.14	0.04	0.0	0.11	0.13	0.03	0.07	0.03	0.09	0.02	0.0	0.03	0.04	0.09	0.04
0.06	0.18	0.0	0.06	0.06	0.06	0.01	0.03	0.02	0.12	0.01	0.02	0.06	0.05	0.0	0.12	0.07	0.01	0.06
0.04	0.01	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.89	0.01	0.0	0.0	0.01	0.0	0.0
0.08	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.87	0.0	0.0	0.0	0.0	0.01	0.0
0.03	0.02	0.03	0.16	0.16	0.0	0.0	0.25	0.18	0.0	0.01	0.0	0.03	0.03	0.01	0.02	0.04	0.02	0.01
0.1	0.03	0.0	0.01	0.15	0.03	0.0	0.03	0.06	0.02	0.09	0.03	0.09	0.0	0.01	0.02	0.11	0.22	0.0
0.15	0.02	0.0	0.03	0.16	0.02	0.0	0.06	0.08	0.06	0.02	0.03	0.04	0.0	0.0	0.01	0.07	0.25	0.0
0.04	0.14	0.08	0.04	0.02	0.02	0.0	0.08	0.03	0.1	0.0	0.03	0.01	0.01	0.01	0.13	0.0	0.26	0.0
0.12	0.02	0.0	0.02	0.16	0.02	0.0	0.06	0.09	0.05	0.08	0.03	0.07	0.01	0.0	0.01	0.08	0.18	0.0
0.21	0.02	0.0	0.02	0.12	0.01	0.0	0.08	0.04	0.06	0.04	0.08	0.05	0.01	0.0	0.01	0.05	0.19	0.01
0.04	0.01	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.01	0.0	0.09	0.06	0.0	0.0	0.03	0.04	0.67	0.03
0.01	0.04	0.01	0.02	0.16	0.15	0.02	0.24	0.03	0.01	0.0	0.01	0.01	0.03	0.07	0.02	0.04	0.1	0.03
0.94	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0
0.04	0.05	0.03	0.19	0.24	0.03	0.02	0.05	0.0	0.1	0.01	0.0	0.02	0.01	0.04	0.02	0.11	0.01	0.03
0.1	0.01	0.0	0.0	0.02	0.0	0.0	0.0	0.01	0.01	0.0	0.01	0.8	0.01	0.0	0.01	0.01	0.01	0.0
0.86	0.01	0.0	0.01	0.01	0.0	0.0	0.01	0.02	0.0	0.01	0.01	0.03	0.0	0.0	0.0	0.01	0.02	0.0
0.12	0.0	0.0	0.02	0.03	0.0	0.0	0.0	0.01	0.0	0.02	0.04	0.72	0.01	0.0	0.0	0.03	0.0	0.0
0.1	0.0	0.0	0.0	0.1	0.0	0.0	0.03	0.01	0.01	0.12	0.02	0.49	0.01	0.0	0.02	0.03	0.03	0.03
0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.95	0.0	0.0	0.0	0.0	0.01	0.0
0.13	0.01	0.0	0.03	0.27	0.0	0.01	0.04	0.04	0.0	0.02	0.0	0.36	0.0	0.0	0.01	0.02	0.01	0.05
0.0	0.03	0.04	0.0	0.03	0.0	0.0	0.01	0.01	0.76	0.0	0.0	0.0	0.06	0.0	0.02	0.01	0.02	0.01
0.08	0.01	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.01	0.01	0.82	0.03	0.01	0.0	0.0	0.01	0.01	0.0
0.07	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.9	0.0	0.0	0.0	0.0	0.0	0.0
0.04	0.06	0.0	0.01	0.13	0.04	0.02	0.12	0.06	0.01	0.04	0.01	0.06	0.03	0.0	0.02	0.11	0.23	0.01
0.1	0.0	0.01	0.0	0.01	0.0	0.0	0.0	0.01	0.03	0.01	0.76	0.02	0.01	0.0	0.0	0.01	0.02	0.01
0.02	0.01	0.02	0.04	0.6	0.01	0.0	0.0	0.02	0.04	0.04	0.0	0.03	0.0	0.01	0.09	0.04	0.02	0.01
0.02	0.0	0.01	0.04	0.72	0.0	0.0	0.01	0.04	0.01	0.04	0.0	0.01	0.0	0.0	0.0	0.06	0.03	0.01
0.04	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.01	0.0	0.0	0.86	0.02	0.0	0.0	0.01	0.01	0.04	0.0
0.07	0.04	0.0	0.02	0.2	0.01	0.02	0.02	0.06	0.04	0.05	0.02	0.09	0.02	0.0	0.02	0.03	0.27	0.02
0.04	0.0	0.02	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.02	0.79	0.06	0.01	0.0	0.0	0.0	0.04	0.01
0.02	0.02	0.04	0.01	0.0	0.0	0.0	0.04	0.02	0.05	0.0	0.05	0.02	0.02	0.0	0.01	0.01	0.65	0.04
0.0	0.0	0.74	0.02	0.03	0.0	0.02	0.0	0.0	0.06	0.01	0.01	0.01	0.02	0.0	0.01	0.04	0.0	0.03
0.93	0.0	0.01	0.0	0.02	0.0	0.0	0.02	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0
0.07	0.01	0.0	0.0	0.03	0.0	0.0	0.0	0.01	0.01	0.01	0.02	0.81	0.01	0.0	0.0	0.0	0.02	0.0
0.03	0.01	0.0	0.0	0.06	0.0	0.0	0.0	0.01	0.01	0.01	0.0	0.85	0.0	0.0	0.0	0.01	0.01	0.0
0.02	0.0	0.02	0.05	0.34	0.0	0.01	0.14	0.2	0.01	0.01	0.0	0.04	0.03	0.02	0.02	0.05	0.04	0.0
0.04	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.02	0.01	0.0	0.0	0.85	0.0	0.0	0.0	0.0	0.03	0.0
0.11	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.01	0.0	0.05	0.0	0.81	0.0	0.0	0.0	0.0	0.0	0.0
0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.95	0.0	0.0	0.0	0.0	0.0	0.02	0.0
0.05	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.02	0.0	0.01	0.01	0.85	0.0	0.0	0.0	0.0	0.01	0.0
0.05	0.0	0.07	0.13	0.09	0.01	0.01	0.23	0.09	0.01	0.0	0.01	0.01	0.03	0.04	0.03	0.0	0.12	0.07
0.02	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.01	0.03	0.0	0.82	0.0	0.01	0.01	0.03	0.02	0.0
0.05	0.04	0.04	0.04	0.24	0.02	0.01	0.09	0.13	0.06	0.0	0.0	0.05	0.02	0.0	0.04	0.06	0.09	0.02
0.07	0.01	0.01	0.01	0.43	0.0	0.02	0.09	0.07	0.0	0.02	0.01	0.11	0.01	0.01	0.0	0.06	0.05	0.02
0.02	0.14	0.02	0.01	0.32	0.06	0.03	0.12	0.04	0.03	0.0	0.01	0.01	0.01	0.02	0.05	0.06	0.05	0.0
0.03	0.01	0.0	0.01	0.15	0.02	0.01	0.31	0.18	0.0	0.01	0.04	0.03	0.05	0.02	0.0	0.01	0.07	0.05
0.02	0.07	0.01	0.03	0.05	0.0	0.0	0.03	0.06	0.05	0.01	0.02	0.05	0.02	0.01	0.18	0.12	0.25	0.02
0.15	0.03	0.0	0.05	0.26	0.04	0.0	0.09	0.09	0.03	0.01	0.04	0.02	0.01	0.0	0.02	0.09	0.06	0.01
0.03	0.09	0.03	0.04	0.16	0.08	0.0	0.18	0.09	0.03	0.0	0.0	0.02	0.04	0.03	0.03	0.05	0.1	0.0
0.04	0.01	0.02	0.23	0.14	0.08	0.0	0.04	0.07	0.01	0.01	0.02	0.02	0.01	0.07	0.07	0.04	0.07	0.05
0.08	0.01	0.0	0.0	0.07	0.0	0.0	0.03	0.02	0.01	0.01	0.0	0.69	0.02	0.01	0.01	0.01	0.01	0.02
0.1	0.0	0.01	0.01	0.11	0.0	0.0	0.01	0.02	0.01	0.02	0.0	0.64	0.01	0.0	0.01	0.01	0.02	0.02
0.07	0.04	0.01	0.02	0.14	0.05	0.02	0.11	0.07	0.03	0.05	0.01	0.03	0.01	0.0	0.01	0.11	0.21	0.01
0.06	0.04	0.01	0.01	0.18	0.03	0.02	0.04	0.11	0.04	0.02	0.0	0.05	0.0	0.01	0.03	0.12	0.21	0.02
0.04	0.07	0.05	0.01	0.4	0.01	0.01	0.05	0.02	0.01	0.02	0.0	0.11	0.04	0.0	0.02	0.11	0.03	0.0
0.86	0.0	0.0	0.01	0.01	0.0	0.0	0.02	0.03	0.0	0.0	0.0	0.02	0.03	0.0	0.0	0.0	0.01	0.01
0.0	0.0	0.01	0.0	0.04	0.0	0.0	0.0	0.01	0.01	0.01	0.03	0.06	0.01	0.0	0.03	0.02	0.75	0.02
0.16	0.0	0.0	0.04	0.16	0.0	0.0	0.02	0.04	0.01	0.08	0.01	0.34	0.01	0.0	0.02	0.02	0.05	0.04
0.01	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.02	0.0	0.04	0.01	0.91	0.0	0.0	0.0	0.0	0.0	0.0
0.07	0.02	0.04	0.01	0.01	0.0	0.02	0.04	0.04	0.08	0.01	0.03	0.03	0.02	0.0	0.05	0.01	0.51	0.01
0.1	0.01	0.01	0.06	0.01	0.0	0.0	0.01	0.1	0.01	0.6	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.04
0.03	0.06	0.02	0.11	0.16	0.13	0.0	0.12	0.04	0.05	0.02	0.0	0.02	0.01	0.07	0.02	0.08	0.06	0.0
0.79	0.0	0.01	0.01	0.02	0.0	0.0	0.05	0.07	0.0	0.01	0.0	0.0	0.03	0.01	0.0	0.0	0.0	0.0
